"datetime","deployment","pm10.avg","wd","ws"
2015-12-19 08:00:00,"T29-4N",9.777101,345.7091,2.841743872
2015-12-19 09:00:00,"T29-4N",18.4415,0.676191,2.057814528
2015-12-19 10:00:00,"T29-4N",20.59711,300.8789,1.861832192
2015-12-19 11:00:00,"T29-4N",40.31868,290.0989,3.233708544
2015-12-19 12:00:00,"T29-4N",49.79387,3.079703,4.213620224
2015-12-19 13:00:00,"T29-4N",41.95263,333.3492,5.095540736
2015-12-19 14:00:00,"T29-4N",37.05402,86.13198,1.371876352
2015-12-19 15:00:00,"T29-4N",84.6343,169.9732,9.505143296
2015-12-19 16:00:00,"T29-4N",67.87445,137.9343,9.897107968
2015-12-19 17:00:00,"T29-4N",11.00653,176.644,8.035275776
2015-12-19 18:00:00,"T29-4N",12.0351,172.3745,4.8995584
2015-12-19 19:00:00,"T29-4N",9.413038,195.3542,3.037726208
2015-12-19 20:00:00,"T29-4N",10.94895,0.08452386,5.585496576
2015-12-19 21:00:00,"T29-4N",14.54927,185.0249,2.547770368
2015-12-19 22:00:00,"T29-4N",18.06737,204.7883,1.371876352
2015-12-19 23:00:00,"T29-4N",14.38277,280.4307,0.881920512
2015-12-20 00:00:00,"T29-4N",14.35577,198.6874,0.587947008
2015-12-20 01:00:00,"T29-4N",14.79547,301.7935,2.253796864
2015-12-20 02:00:00,"T29-4N",13.53945,271.8764,0
2015-12-20 03:00:00,"T29-4N",11.77147,2.743775,0.391964672
2015-12-20 04:00:00,"T29-4N",11.33293,339.8661,0.97991168
2015-12-20 05:00:00,"T29-4N",10.95202,299.0433,1.567858688
2015-12-20 06:00:00,"T29-4N",11.58018,184.5329,1.567858688
2015-12-20 07:00:00,"T29-4N",11.11027,327.7879,1.763841024
2015-12-20 08:00:00,"T29-4N",11.12865,237.9542,0.48995584
2015-12-20 09:00:00,"T29-4N",10.88795,90.75045,0.48995584
2015-12-20 10:00:00,"T29-4N",13.26992,68.7309,0.48995584
2015-12-20 11:00:00,"T29-4N",9.478459,125.9883,1.077902848
2015-12-20 12:00:00,"T29-4N",9.795263,206.7497,0.587947008
2015-12-20 13:00:00,"T29-4N",10.32279,144.1977,1.175894016
2015-12-20 14:00:00,"T29-4N",7.517199,177.7602,3.135717376
